Name,Runtime,num_epochs,activation_fn,data_augm_level,latent_size,loss_fn,vae_beta_norm,variational,hpatches_overall,matching_overall,retrieval_overall,verification_overall,hpatches_norm_mean,matching_norm,retrieval_norm,verification_norm,mse,psnr,ssim,loss,matching.e,matching.h,matching.t,retrieval.e.100,retrieval.e.1000,retrieval.e.10000,retrieval.e.15000,retrieval.e.20000,retrieval.e.500,retrieval.e.5000,retrieval.e.mean,retrieval.h.100,retrieval.h.1000,retrieval.h.10000,retrieval.h.15000,retrieval.h.20000,retrieval.h.500,retrieval.h.5000,retrieval.h.mean,retrieval.mean.100,retrieval.mean.1000,retrieval.mean.10000,retrieval.mean.15000,retrieval.mean.20000,retrieval.mean.500,retrieval.mean.5000,retrieval.t.100,retrieval.t.1000,retrieval.t.10000,retrieval.t.15000,retrieval.t.20000,retrieval.t.500,retrieval.t.5000,retrieval.t.mean,verification.e.inter.balanced.auc,verification.e.inter.imbalanced.ap,verification.e.intra.balanced.auc,verification.e.intra.imbalanced.ap,verification.h.inter.balanced.auc,verification.h.inter.imbalanced.ap,verification.h.intra.balanced.auc,verification.h.intra.imbalanced.ap,verification.mean.inter.balanced.auc,verification.mean.inter.imbalanced.ap,verification.mean.inter.mean,verification.mean.intra.balanced.auc,verification.mean.intra.imbalanced.ap,verification.mean.intra.mean,verification.t.inter.balanced.auc,verification.t.inter.imbalanced.ap,verification.t.intra.balanced.auc,verification.t.intra.imbalanced.ap,val_loss,val_mse
dry-sweep-58,8466,200,relu,3,32,bce,0.001,1,0.3017346569,0.06669613245,0.2489360571,0.5895717812,0.6326488531,0.4935505398,0.7287991321,0.6755968873,0.01164841765,18.81466231,0.360014279,0.4514845163,0.1471665006,0.03910681376,0.01381508299,0.6458298652,0.4411283103,0.294617636,0.273345526,0.2598967829,0.496093119,0.3355602271,0.3923530281,0.4813441843,0.2441715447,0.1264172607,0.1127551185,0.1044879921,0.3001230414,0.1551988172,0.2177854031,0.4986269474,0.2772952914,0.1613825113,0.1468648016,0.138047874,0.3296675384,0.1906675547,0.3687068184,0.1465859938,0.06311266761,0.05449374691,0.04975884798,0.1927864397,0.08124360111,0.1366697252,0.8067160852,0.6012688904,0.7676313368,0.5122937244,0.7399988259,0.4758127502,0.6950818589,0.3845077977,0.7492193769,0.495916924,0.6225681505,0.7057258798,0.4074249439,0.5565754118,0.7009432197,0.4106691315,0.6544644436,0.3254733095,0.5560364178,0.01174683869
frosty-sweep-57,8540,200,relu,3,32,bce,0.01,1,0.196818794,0.003106092088,0.08782371879,0.4995265711,0,0,0,0,0.01309030771,17.88938684,0.3293654995,0.467651817,0.00699357443,0.001680842424,0.0006438594094,0.3932504753,0.1432014645,0.05466900014,0.0461922983,0.04145317707,0.1904081304,0.07277660239,0.1345644444,0.2731834645,0.07369258789,0.02227196086,0.01803617393,0.01605188285,0.1059479524,0.03202221687,0.07731517404,0.2903347313,0.08698666841,0.02944436669,0.02442433126,0.02181988768,0.1212419197,0.0405141525,0.2045702668,0.04406596234,0.01139213596,0.009044522067,0.007954607478,0.06736966993,0.01674363681,0.05159154162,0.7515492935,0.4245979433,0.7216294482,0.3657034562,0.6794345047,0.3318918064,0.6492508861,0.283410565,0.6903411174,0.3483916132,0.5193663653,0.6604330479,0.2989405062,0.479686777,0.6400395538,0.2886850899,0.6104188093,0.2477074973,0.5693141675,0.01320473291
silver-sweep-56,16452,200,relu,2,32,msssim,0.00001,1,0.3512401078,0.1319480956,0.3073735833,0.6143986446,0.9516711457,1,0.9931439914,0.8618694457,0.01495554576,18.16473143,0.386206464,0.1852149968,0.2651612363,0.09465748797,0.03602556238,0.690263112,0.5143613792,0.3853766257,0.3654067759,0.3527963,0.5615128149,0.4224540267,0.4703101814,0.5404639443,0.3117309047,0.1869416694,0.17084187,0.1609600258,0.3659890752,0.2193430273,0.2794671953,0.5476517081,0.3378413022,0.2221165895,0.206632182,0.1971296221,0.3874809444,0.2527629435,0.4122281683,0.1874316705,0.09403143226,0.08364782228,0.07763259706,0.2349408698,0.1164917233,0.1723434627,0.8228798671,0.6425114938,0.7917072896,0.5634494962,0.7524756443,0.508169836,0.7160095793,0.4238521977,0.7601090938,0.526685385,0.6433972394,0.725004536,0.4457955635,0.5854000497,0.7049717699,0.4293748253,0.667296739,0.3500849965,0.2050780697,0.01504888944
still-sweep-55,16442,200,relu,2,32,msssim,0.0001,1,0.3510417747,0.131071926,0.3072626293,0.614790769,0.9502177487,0.9931996589,0.9926420856,0.8648115016,0.01493806183,18.15102347,0.3874876099,0.1856251429,0.2634275968,0.09377839179,0.03600978941,0.6888111496,0.5138159148,0.3845471675,0.3646663106,0.3521509008,0.5610762355,0.4217149129,0.4695403576,0.5402250596,0.3124980856,0.1872663343,0.1712231446,0.1613149015,0.3672148456,0.2195868046,0.2799041867,0.5469766855,0.338031739,0.2218660265,0.2064498514,0.196979329,0.3879681528,0.2525666654,0.4118938274,0.1877811251,0.09378458778,0.08346007918,0.07747218012,0.2356134066,0.1163983048,0.1723433584,0.823653458,0.6414044841,0.7923234182,0.5624673347,0.7537206616,0.5079281128,0.717106316,0.4239733738,0.7611963907,0.5262869237,0.6437416572,0.7259558719,0.4457238896,0.5858398808,0.7062150526,0.4295281741,0.6684378816,0.3507309602,0.2050730831,0.01503226068
bumbling-sweep-54,16464,200,relu,2,32,msssim,0.001,1,0.3485541429,0.1293457257,0.3041985929,0.6121181099,0.9344475113,0.9798018523,0.9787817751,0.8447589065,0.01508532955,18.07819722,0.3872337555,0.1889012554,0.2608199095,0.09204668393,0.03517058381,0.6866838736,0.5117455178,0.3822582157,0.3622128659,0.3496904225,0.5585600934,0.419506219,0.4672367573,0.5351970904,0.3082778501,0.1840687658,0.1684234514,0.1585210959,0.3620081505,0.2159754238,0.2760674059,0.5424768329,0.3349572718,0.2193821818,0.2040907741,0.1946683675,0.3840334415,0.2497808784,0.405549656,0.1848485478,0.0918195916,0.08163602575,0.07579358529,0.2315320383,0.113860948,0.1692914963,0.8231558832,0.6381108286,0.7920018035,0.558928683,0.751516917,0.5035369724,0.7154170847,0.4202260814,0.759367181,0.5223233568,0.6408452689,0.7245914318,0.4421904701,0.583390951,0.7034287427,0.4253222694,0.6663554074,0.3474166458,0.2085517616,0.0151868565
efficient-sweep-53,16511,200,relu,2,32,msssim,0.01,1,0.3329361157,0.1141789034,0.2879827917,0.5966466519,0.83206431,0.8620854093,0.9054288463,0.7286786744,0.01551474324,18.12141629,0.3919212758,0.2136340616,0.2397841476,0.07563454589,0.02711801664,0.6798224823,0.4978492332,0.3651712644,0.3449271419,0.3324942164,0.545951845,0.4031955072,0.4527730942,0.511898,0.2852696427,0.166682493,0.1518205631,0.142736381,0.3380647138,0.1972924591,0.2562520206,0.5242331624,0.3169130087,0.204633832,0.1898368746,0.1809303313,0.365185529,0.2341466397,0.3809790967,0.1676201639,0.08204778025,0.07276294832,0.06756042361,0.2115400609,0.1019519552,0.1549232006,0.8187021593,0.6203528222,0.7881511723,0.5425304138,0.7377991737,0.4776362983,0.7033585376,0.3998275865,0.7481152066,0.4995880813,0.623851644,0.7148382584,0.4240450613,0.5694416598,0.6878442867,0.4007751235,0.6530050654,0.3297771836,0.2340337619,0.01563503221
smart-sweep-52,8717,200,relu,2,32,bce,0.00001,1,0.3301883143,0.09673450107,0.277364403,0.6164660388,0.8204895171,0.7266916569,0.8573960729,0.8773808214,0.01150658952,18.99743357,0.3628881677,0.4836005932,0.1994030621,0.06527533136,0.0255251097,0.6518132527,0.4673057139,0.3349707146,0.3150507798,0.3027779853,0.5165744557,0.3726676333,0.4230229259,0.5120141783,0.2788834899,0.156723762,0.1419815195,0.1331963561,0.33542472,0.1877365112,0.2494229227,0.5221336484,0.3065509498,0.1906821132,0.1759641767,0.1670558453,0.3583490551,0.2208149433,0.4025735441,0.1734635513,0.08035186076,0.07086023076,0.06519321068,0.2230480115,0.102040645,0.1596473008,0.819029372,0.6282547499,0.7768481065,0.5382823626,0.7669129454,0.515530084,0.7170100717,0.4171760488,0.7729392018,0.5314667311,0.6522029664,0.724614076,0.4368441462,0.5807291111,0.7328752879,0.4506153594,0.6799840498,0.3550740271,0.5530669899,0.01161613408
royal-sweep-51,8709,200,relu,2,32,bce,0.0001,1,0.3308464532,0.09529048913,0.2752816677,0.6219672027,0.8273713547,0.7154840391,0.8479747233,0.9186553019,0.01148305786,18.98389046,0.3623818128,0.4839695422,0.1953083706,0.06510141321,0.02546168356,0.6491802885,0.4615547925,0.3285121586,0.3090878758,0.2968585139,0.5116103289,0.3658247469,0.4175183773,0.5143673773,0.2780182934,0.1544528715,0.1401516071,0.1314727471,0.3357523667,0.1856895415,0.2485578358,0.5228772759,0.3045162261,0.187556684,0.1731690615,0.1642902642,0.357093662,0.2174684405,0.4050841955,0.1739756052,0.07970501172,0.07026766954,0.06453954384,0.2239182431,0.1008910694,0.1597687453,0.8227077864,0.6333781299,0.7806584488,0.5439703591,0.772303339,0.5222808564,0.7223628936,0.4239155291,0.7778651467,0.5375500459,0.6577075963,0.7294889106,0.4429647077,0.5862268091,0.7385843147,0.4569911515,0.6854453895,0.3610082348,0.5533911943,0.01159192808
rose-sweep-50,8520,200,relu,2,32,bce,0.001,1,0.307725143,0.07154669078,0.254445672,0.5971830662,0.6725411083,0.5311978769,0.7537221308,0.7327033173,0.01161305899,18.84290979,0.3605106532,0.4868812999,0.1563329277,0.04299448962,0.015312655,0.6535904608,0.4500832054,0.3016682479,0.2800990671,0.2670762852,0.5067337893,0.3441053383,0.4004794955,0.4879102166,0.251261995,0.1303928691,0.1159004396,0.1077038875,0.3089104913,0.1604247837,0.223214969,0.504740715,0.2838632166,0.165661037,0.150738582,0.1419131309,0.337833792,0.1963693053,0.3727214401,0.1502444226,0.06492197252,0.05621627544,0.0509591886,0.1978571688,0.08457780057,0.1396426111,0.8109517996,0.6151675639,0.7735766475,0.5284197619,0.7426004972,0.4871944751,0.6995408556,0.3969470607,0.7518085087,0.5070359337,0.6294222212,0.7101314758,0.4197563464,0.5649439111,0.7018732294,0.4187457622,0.6572769243,0.3339022167,0.5558464354,0.01171429548
dry-sweep-49,8510,200,relu,2,32,bce,0.01,1,0.2048576579,0.004608467129,0.1007485986,0.509215908,0.04760822038,0.01166059981,0.05846629298,0.07269776834,0.01317194923,17.88912414,0.3300459474,0.5024052337,0.01055490428,0.002401810676,0.0008686864279,0.4317311872,0.1712115354,0.07079777575,0.06068124658,0.05485580218,0.2212188438,0.09262501037,0.1575887948,0.2965316367,0.08456251261,0.02767986448,0.02260955827,0.01996237013,0.1202073913,0.03873059413,0.08718341589,0.3164500892,0.1021443605,0.03741773963,0.03146511689,0.02817681246,0.1390524656,0.05053361133,0.2210873827,0.05065903186,0.01377557107,0.01110454875,0.009712265568,0.0757311472,0.02024523936,0.05747359991,0.7616805065,0.448865001,0.7325379617,0.3851284922,0.684635594,0.3438932299,0.6548826473,0.292570344,0.6962630617,0.3632631186,0.5297630902,0.6668704867,0.310466965,0.4886687258,0.6424730846,0.2970311249,0.6131908512,0.2537020586,0.5691861554,0.013285161
